notarealmovie, fakegenre, fakedirector, fakeactor
My Life Without Me,Drama,Isabel Coixet,Sarah Polley
My Lucky Star,Action,Dennie Gordon,Leehom Wang
My Name Is Bruce,Comedy,Bruce Campbell,Ted Raimi
My Name Is Khan,Adventure,Karan Johar,Shah Rukh Khan
My Own Private Idaho,Drama,Gus Van Sant,Keanu Reeves
My Sister's Keeper,Drama,Nick Cassavetes,Jason Patric
My Soul to Take,Horror,Wes Craven,Frank Grillo
My Soul to Take,Horror,Wes Craven,Frank Grillo
My Stepmother Is an Alien,Comedy,Richard Benjamin,Jon Lovitz
My Summer of Love,Drama,Pawel Pawlikowski,Paddy Considine
My Super Ex-Girlfriend,Comedy,Ivan Reitman,Rainn Wilson
My Week with Marilyn,Biography,Simon Curtis,Eddie Redmayne
Mystery Alaska,Comedy,Jay Roach,Scott Grimes
Mystery Men,Action,Kinka Usher,Janeane Garofalo
Mystic Pizza,Comedy,Donald Petrie,Julia Roberts
Mystic River,Crime,Clint Eastwood,John Doman
Nacho Libre,Comedy,Jared Hess,Ana de la Reguera
Naked Gun 33 1/3: The Final Insult,Comedy,Peter Segal,George Kennedy
Namastey London,Comedy,Vipul Amrutlal Shah,Katrina Kaif
Nancy Drew,Comedy,Andrew Fleming,Kay Panabaker
Nanny McPhee,Comedy,Kirk Jones,Colin Firth
Nanny McPhee Returns,Comedy,Susanna White,Daniel Mays
Napoleon Dynamite,Comedy,Jared Hess,Jon Heder
Narc,Crime,Joe Carnahan,Jason Patric
National Lampoon's Vacation,Adventure,Harold Ramis,Beverly D'Angelo
National Treasure,Action,Jon Turteltaub,Nicolas Cage
Naturally Native,Drama,Jennifer Wynne Farmer,Irene Bedard
Navy Seals vs. Zombies,Action,Stanton Barrett,Mikal Vega
Neal 'N' Nikki,Comedy,Arjun Sablok,Abhishek Bachchan
Nebraska,Adventure,Alexander Payne,Devin Ratray
Need for Speed,Action,Scott Waugh,Rami Malek
Neighbors,Comedy,Nicholas Stoller,Craig Roberts
Neighbors 2: Sorority Rising,Comedy,Nicholas Stoller,Chloë Grace Moretz
Nerve,Adventure,Henry Joost,Samira Wiley
Network,Drama,Sidney Lumet,Robert Duvall
Never Again,Comedy,Eric Schaeffer,Peter Dinklage
Never Back Down,Action,Jeff Wadlow,Djimon Hounsou
Never Back Down 2: The Beatdown,Action,Michael Jai White,Michael Jai White
Never Let Me Go,Drama,Mark Romanek,Andrew Garfield
Never Say Never Again,Action,Irvin Kershner,Bernie Casey
New in Town,Comedy,Jonas Elmer,J.K. Simmons
New Nightmare,Fantasy,Wes Craven,Miko Hughes
New Year's Eve,Comedy,Garry Marshall,Robert De Niro
New York Minute,Comedy,Dennie Gordon,Mary-Kate Olsen
New York New York,Drama,Martin Scorsese,Robert De Niro
New York Stories,Comedy,Woody Allen,Woody Allen
Newlyweds,Comedy,Edward Burns,Kerry Bishé
Next Day Air,Action,Benny Boom,Omari Hardwick
Next Friday,Comedy,Steve Carr,John Witherspoon
Next Stop Wonderland,Comedy,Brad Anderson,Philip Seymour Hoffman
Niagara,Crime,Henry Hathaway,Joseph Cotten
Nicholas Nickleby,Drama,Douglas McGrath,Charlie Hunnam
Nick and Norah's Infinite Playlist,Comedy,Peter Sollett,Ari Graynor
Night at the Museum,Action,Shawn Levy,Robin Williams
Night at the Museum: Battle of the Smithsonian,Adventure,Shawn Levy,Robin Williams
Night at the Museum: Secret of the Tomb,Adventure,Shawn Levy,Robin Williams
Night of the Living Dead,Drama,George A. Romero,Judith O'Dea
Night of the Living Dead,Drama,George A. Romero,Judith O'Dea
Night Watch,Fantasy,Timur Bekmambetov,Konstantin Khabenskiy
Nightcrawler,Crime,Dan Gilroy,Jake Gyllenhaal
Nighthawks,Action,Bruce Malmuth,Sylvester Stallone
Nim's Island,Adventure,Jennifer Flackett,Gerard Butler
Nine,Drama,Rob Marshall,Fergie
Nine Dead,Crime,Chris Shadley,Daniel Baldwin
Nine Queens,Crime,Fabián Bielinsky,Ricardo Darín
Nixon,Biography,Oliver Stone,Anthony Hopkins
No Country for Old Men,Crime,Ethan Coen,Kelly Macdonald
No End in Sight,Documentary,Charles Ferguson,Campbell Scott
No Escape,Action,John Erick Dowdle,Sterling Jerins
No Good Deed,Crime,Sam Miller,Leslie Bibb
No Man's Land: The Rise of Reeker,Horror,Dave Payne,Mircea Monroe
No Reservations,Comedy,Scott Hicks,Zoë Kravitz
No Strings Attached,Comedy,Ivan Reitman,Natalie Portman
No Vacancy,Horror,Chris Stokes,Kristen Quintrall
Noah,Action,Darren Aronofsky,Anthony Hopkins
Nomad: The Warrior,Drama,Sergey Bodrov,Jay Hernandez
Non-Stop,Action,Jaume Collet-Serra,Liam Neeson
North Country,Drama,Niki Caro,Jeremy Renner
Northfork,Drama,Michael Polish,Peter Coyote
Not Another Teen Movie,Comedy,Joel Gallen,Chris Evans
Not Cool,Comedy,Shane Dawson,Shane Dawson
Not Easily Broken,Drama,Bill Duke,Eddie Cibrian
Notes on a Scandal,Crime,Richard Eyre,Phil Davis
Nothing,Comedy,Vincenzo Natali,David Hewlett
Nothing But a Man,Drama,Michael Roemer,Yaphet Kotto
Nothing to Lose,Action,Steve Oedekerk,Kelly Preston
Notting Hill,Comedy,Roger Michell,Julia Roberts
November,Drama,Greg Harrison,Amir Talai
Novocaine,Comedy,David Atkins,Chelcie Ross
Now Is Good,Drama,Ol Parker,Jeremy Irvine
Now You See Me,Crime,Louis Leterrier,Morgan Freeman
Now You See Me 2,Action,Jon M. Chu,Daniel Radcliffe
Nowhere Boy,Biography,Sam Taylor-Johnson,Kristin Scott Thomas
Nowhere in Africa,Biography,Caroline Link,Merab Ninidze
Nowhere to Run,Action,Robert Harmon,Kieran Culkin
N-Secure,Crime,David M. Matthews,Essence Atkins
Nurse 3D,Horror,Douglas Aarniokoski,Boris Kodjoe
Nurse Betty,Comedy,Neil LaBute,Morgan Freeman
Nutty Professor II: The Klumps,Comedy,Peter Segal,Larry Miller
O,Drama,Tim Blake Nelson,Mekhi Phifer
O,Drama,Tim Blake Nelson,Mekhi Phifer
O Brother Where Art Thou?,Adventure,Joel Coen,Holly Hunter
Obitaemyy ostrov,Action,Fedor Bondarchuk,Yuliya Snigir
Oblivion,Action,Joseph Kosinski,Morgan Freeman
Observe and Report,Comedy,Jody Hill,Collette Wolfe
Obvious Child,Comedy,Gillian Robespierre,Gaby Hoffmann
Oceans,Documentary,Jacques Perrin,Pedro Armendáriz Jr.
Ocean's Eleven,Crime,Steven Soderbergh,Brad Pitt
Ocean's Thirteen,Crime,Steven Soderbergh,Al Pacino
Ocean's Twelve,Crime,Steven Soderbergh,Brad Pitt
October Baby,Drama,Andrew Erwin,Rachel Hendrix
Octopussy,Action,John Glen,Louis Jourdan
Oculus,Horror,Mike Flanagan,James Lafferty
Of Gods and Men,Drama,Xavier Beauvois,Lambert Wilson
Of Horses and Men,Comedy,Benedikt Erlingsson,Ingvar Eggert Sigurðsson
Office Space,Comedy,Mike Judge,Gary Cole
Old Dogs,Comedy,Walt Becker,Robin Williams
Old Joy,Drama,Kelly Reichardt,Daniel London
Old School,Comedy,Todd Phillips,Will Ferrell
Oldboy,Drama,Chan-wook Park,Min-sik Choi
Oliver Twist,Crime,Roman Polanski,Ian McNeice
Oliver!,Drama,Carol Reed,Oliver Reed
Olympus Has Fallen,Action,Antoine Fuqua,Gerard Butler
On Her Majesty's Secret Service,Action,Peter R. Hunt,Telly Savalas
On the Downlow,Drama,Tadeo Garcia,Tatiana Suarez-Pico
On the Line,Comedy,Eric Bross,Jerry Stiller
On the Outs,Drama,Lori Silverbush,Judy Marte
On the Road,Adventure,Walter Salles,Kristen Stewart
On the Waterfront,Crime,Elia Kazan,Marlon Brando
Once,Drama,John Carney,Glen Hansard
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Documentary,Paul Crowder,Pelé
Once Upon a Time in America,Crime,Sergio Leone,Robert De Niro
Once Upon a Time in Mexico,Action,Robert Rodriguez,Johnny Depp
Once Upon a Time in Queens,Comedy,Dave Rodriguez,Chazz Palminteri
Once Upon a Time in the West,Western,Sergio Leone,Claudia Cardinale
Ondine,Drama,Neil Jordan,Tony Curran
One Day,Drama,Lone Scherfig,Anne Hathaway
One Direction: This Is Us,Documentary,Morgan Spurlock,Harry Styles
One Flew Over the Cuckoo's Nest,Drama,Milos Forman,Scatman Crothers
One for the Money,Action,Julie Anne Robinson,Fisher Stevens
One Hour Photo,Drama,Mark Romanek,Robin Williams
One Man's Hero,Action,Lance Hool,Tom Berenger
One Missed Call,Horror,Eric Valette,Johnny Lewis
One Night with the King,Biography,Michael O. Sajbel,James Callis
One to Another,Drama,Pascal Arnold,Karl E. Landler
One True Thing,Drama,Carl Franklin,Meryl Streep
Ong-bak 2,Action,Tony Jaa,Nirut Sirichanya
Only God Forgives,Crime,Nicolas Winding Refn,Ryan Gosling
Only the Strong,Action,Sheldon Lettich,Antoni Corone
Opal Dream,Drama,Peter Cattaneo,Jacqueline McKenzie
Open Range,Drama,Kevin Costner,Robert Duvall
Open Road,Action,Marcio Garcia,John Savage
Open Season,Adventure,Roger Allers,Jon Favreau
Open Secret,Crime,John Reinhardt,Sheldon Leonard
Open Water,Adventure,Chris Kentis,Blanchard Ryan
Operation Chromite,Action,John H. Lee,Liam Neeson
Ordet,Drama,Carl Theodor Dreyer,Hanne Aagesen
Ordinary People,Drama,Robert Redford,Adam Baldwin
Orgazmo,Comedy,Trey Parker,Trey Parker
Original Sin,Drama,Michael Cristofer,Angelina Jolie Pitt
Orphan,Horror,Jaume Collet-Serra,Jimmy Bennett
Osama,Drama,Siddiq Barmak,Marina Golbahari
Oscar and Lucinda,Drama,Gillian Armstrong,Tom Wilkinson
Osmosis Jones,Action,Bobby Farrelly,Ron Howard
Ouija,Fantasy,Stiles White,Lin Shaye
Our Brand Is Crisis,Comedy,David Gordon Green,Dominic Flores
Our Family Wedding,Comedy,Rick Famuyiwa,America Ferrera
Our Idiot Brother,Comedy,Jesse Peretz,Zooey Deschanel
Our Kind of Traitor,Thriller,Susanna White,Radivoje Bukvic
Out Cold,Comedy,Brendan Malloy,Lee Majors
Out of Africa,Biography,Sydney Pollack,Meryl Streep
Out of Inferno,Action,Danny Pang,Louis Koo
Out of Sight,Crime,Steven Soderbergh,Don Cheadle
Out of the Blue,Drama,Dennis Hopper,Raymond Burr
Out of the Blue,Crime,Robert Sarkies,William Kircher
Out of the Dark,Horror,Lluís Quílez,Stephen Rea
Out of the Furnace,Crime,Scott Cooper,Christian Bale
Outbreak,Action,Wolfgang Petersen,Kevin Spacey
Outside Bet,Comedy,Sacha Bennett,Bob Hoskins
Outside Providence,Comedy,Michael Corrente,Jonathan Brandis
Over Her Dead Body,Comedy,Jeff Lowell,Stephen Root
Over the Hedge,Adventure,Tim Johnson,Bruce Willis
Over the Hill to the Poorhouse,Crime,Harry F. Millarde,Stephen Carr
Owning Mahowny,Crime,Richard Kwietniowski,Philip Seymour Hoffman
Oz the Great and Powerful,Adventure,Sam Raimi,Tim Holmes
Oz the Great and Powerful,Adventure,Sam Raimi,Tim Holmes
P.S. I Love You,Drama,Richard LaGravenese,Gerard Butler
Paa,Comedy,R. Balki,Vidya Balan
Pacific Rim,Action,Guillermo del Toro,Charlie Hunnam
Paddington,Animation,Paul King,Julie Walters
Pain & Gain,Comedy,Michael Bay,Dwayne Johnson
Paint Your Wagon,Comedy,Joshua Logan,Clint Eastwood
Pale Rider,Western,Clint Eastwood,Clint Eastwood
Palo Alto,Drama,Gia Coppola,James Franco
Pan,Adventure,Joe Wright,Hugh Jackman
Pan,Adventure,Joe Wright,Hugh Jackman
Pan,Adventure,Joe Wright,Hugh Jackman
Pandaemonium,Biography,Julien Temple,Samantha Morton
Pandora's Box,Crime,Georg Wilhelm Pabst,Louise Brooks
Pandorum,Action,Christian Alvart,Norman Reedus
Panic Room,Crime,David Fincher,Kristen Stewart
Pan's Labyrinth,Drama,Guillermo del Toro,Ivana Baquero
Paparazzi,Action,Paul Abascal,Cole Hauser
Paper Towns,Drama,Jake Schreier,Nat Wolff
Paranormal Activity,Horror,Oren Peli,Micah Sloat
Paranormal Activity 2,Horror,Tod Williams,Sprague Grayden
Paranormal Activity 3,Horror,Henry Joost,Johanna Braddy
Paranormal Activity 4,Horror,Henry Joost,Matt Shively
Paranormal Activity: The Marked Ones,Fantasy,Christopher Landon,Richard Cabral
ParaNorman,Adventure,Chris Butler,Anna Kendrick
Parental Guidance,Comedy,Andy Fickman,Bailee Madison
Paris je t'aime,Comedy,Olivier Assayas,Steve Buscemi
Parker,Action,Taylor Hackford,Jason Statham
Partition,Drama,Vic Sarin,Jimi Mistry
Party Monster,Biography,Fenton Bailey,Macaulay Culkin
Passchendaele,Drama,Paul Gross,Landon Liboiron
Pat Garrett & Billy the Kid,Biography,Sam Peckinpah,James Coburn
Patch Adams,Biography,Tom Shadyac,Robin Williams
Pathology,Crime,Marc Schölermann,John de Lancie
Patriot Games,Action,Phillip Noyce,Harrison Ford
Patton,Biography,Franklin J. Schaffner,George C. Scott
Paul,Adventure,Greg Mottola,Bobby Lee
Paul Blart: Mall Cop,Action,Steve Carr,Erick Avari
Paul Blart: Mall Cop 2,Action,Andy Fickman,D.B. Woodside
Pay It Forward,Drama,Mimi Leder,Kevin Spacey
Payback,Action,Brian Helgeland,Bill Duke
Paycheck,Action,John Woo,Ivana Milicevic
PCU,Comedy,Hart Bochner,Jon Favreau
Peace Propaganda & the Promised Land,Documentary,Sut Jhally,Noam Chomsky
Peaceful Warrior,Drama,Victor Salva,Scott Mechlowicz
Pearl Harbor,Action,Michael Bay,Jennifer Garner
Peeples,Comedy,Tina Gordon Chism,Tyler James Williams
Peggy Sue Got Married,Comedy,Francis Ford Coppola,Nicolas Cage
Penguins of Madagascar,Adventure,Eric Darnell,Benedict Cumberbatch
Penitentiary,Crime,Jamaa Fanaka,Leon Isaac Kennedy
People I Know,Crime,Daniel Algrant,Al Pacino
Percy Jackson & the Olympians: The Lightning Thief,Adventure,Chris Columbus,Logan Lerman
Percy Jackson: Sea of Monsters,Adventure,Thor Freudenthal,Logan Lerman
Perfect Cowboy,Drama,Ken Roht,Charla Cochran
Perfume: The Story of a Murderer,Crime,Tom Tykwer,Michael Smiley
Perrier's Bounty,Action,Ian Fitzgibbon,Jim Broadbent
Persepolis,Animation,Vincent Paronnaud,Catherine Deneuve
Pet Sematary,Fantasy,Mary Lambert,Miko Hughes
Pete's Dragon,Adventure,David Lowery,Bryce Dallas Howard
Phantasm II,Action,Don Coscarelli,Angus Scrimm
Phat Girlz,Comedy,Nnegest Likké,Mo'Nique
Phenomenon,Drama,Jon Turteltaub,Robert Duvall
Philadelphia,Drama,Jonathan Demme,Denzel Washington
Philomena,Biography,Stephen Frears,Steve Coogan
Phone Booth,Crime,Joel Schumacher,Radha Mitchell
Pi,Drama,Darren Aronofsky,Mark Margolis
Pieces of April,Comedy,Peter Hedges,Oliver Platt
Pierrot le Fou,Crime,Jean-Luc Godard,Jean-Paul Belmondo
Pineapple Express,Action,David Gordon Green,James Franco
Pink Flamingos,Comedy,John Waters,Divine
Pink Narcissus,Drama,James Bidgood,Don Brooks
Pinocchio,Animation,Norman Ferguson,Mel Blanc
Piranha 3D,Comedy,Alexandre Aja,Adam Scott
Pirate Radio,Comedy,Richard Curtis,Philip Seymour Hoffman
Pirates of the Caribbean: At World's End,Action,Gore Verbinski,Johnny Depp
Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski,Johnny Depp
Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,Johnny Depp
Pirates of the Caribbean: The Curse of the Black Pearl,Action,Gore Verbinski,Johnny Depp
Pitch Black,Horror,David Twohy,Vin Diesel
Pitch Perfect,Comedy,Jason Moore,Anna Kendrick
Pitch Perfect 2,Comedy,Elizabeth Banks,Anna Kendrick
Pixels,Action,Chris Columbus,Peter Dinklage
Planet 51,Adventure,Jorge Blanco,Dwayne Johnson
Planet of the Apes,Action,Tim Burton,Cary-Hiroyuki Tagawa
Planet of the Apes,Action,Tim Burton,Cary-Hiroyuki Tagawa
Plastic,Action,Julian Gilbey,Mem Ferda
Platoon,Drama,Oliver Stone,Johnny Depp
Play It to the Bone,Comedy,Ron Shelton,Willie Garson
Playing for Keeps,Comedy,Gabriele Muccino,Gerard Butler
Please Give,Comedy,Nicole Holofcener,Oliver Platt
Plush,Thriller,Catherine Hardwicke,Frances Fisher
Pocahontas,Adventure,Mike Gabriel,Christian Bale
Pocketful of Miracles,Comedy,Frank Capra,Ann-Margret
Poetic Justice,Drama,John Singleton,Janet Jackson
Point Blank,Crime,John Boorman,Lee Marvin
Point Break,Action,Ericson Core,Ray Winstone
Point Break,Action,Ericson Core,Ray Winstone
Pokémon 3: The Movie,Action,Kunihiko Yuyama,Veronica Taylor
Police Academy,Comedy,Hugh Wilson,Steve Guttenberg
Police Academy: Mission to Moscow,Comedy,Alan Metter,Christopher Lee
Polisse,Crime,Maïwenn,Riccardo Scamarcio
Pollock,Biography,Ed Harris,John Heard
Poltergeist,Fantasy,Tobe Hooper,Heather O'Rourke
Poltergeist,Fantasy,Tobe Hooper,Heather O'Rourke
Poltergeist III,Horror,Gary Sherman,Tom Skerritt
Pompeii,Action,Paul W.S. Anderson,Sasha Roiz
Pontypool,Fantasy,Bruce McDonald,Stephen McHattie
Ponyo,Adventure,Hayao Miyazaki,Rumi Hiiragi
Pooh's Heffalump Movie,Animation,Frank Nissen,Kath Soucie
Poolhall Junkies,Drama,Mars Callahan,Chazz Palminteri
Pootie Tang,Action,Louis C.K.,Wanda Sykes
Porky's,Comedy,Bob Clark,Art Hindle
Poseidon,Action,Wolfgang Petersen,Jimmy Bennett
Post Grad,Comedy,Vicky Jenson,J.K. Simmons
Poultrygeist: Night of the Chicken Dead,Comedy,Lloyd Kaufman,John Karyus
Pound of Flesh,Action,Ernie Barbarash,Darren Shahlavi
Practical Magic,Comedy,Griffin Dunne,Goran Visnjic
Precious,Drama,Lee Daniels,Mo'Nique
Precious,Drama,Lee Daniels,Mo'Nique
Predator,Action,John McTiernan,Shane Black
Predator 2,Action,Stephen Hopkins,Adam Baldwin
Predators,Action,Nimród Antal,Topher Grace
Prefontaine,Biography,Steve James,Kurtwood Smith
Premium Rush,Action,David Koepp,Joseph Gordon-Levitt
Premonition,Drama,Mennan Yapo,Nia Long
Pretty Woman,Comedy,Garry Marshall,Julia Roberts
Pride & Prejudice,Drama,Joe Wright,Talulah Riley
Pride and Glory,Crime,Gavin O'Connor,Jennifer Ehle
Pride and Prejudice and Zombies,Action,Burr Steers,Matt Smith
Priest,Action,Scott Stewart,Josh Wingate
Primary Colors,Comedy,Mike Nichols,Maura Tierney
Primer,Drama,Shane Carruth,Shane Carruth
Prince of Persia: The Sands of Time,Action,Mike Newell,Jake Gyllenhaal
Princess Kaiulani,Drama,Marc Forby,Q'orianka Kilcher
Princess Mononoke,Adventure,Hayao Miyazaki,Minnie Driver
Prison,Crime,Renny Harlin,Viggo Mortensen
Prisoners,Crime,Denis Villeneuve,Hugh Jackman
Private Benjamin,Comedy,Howard Zieff,Eileen Brennan
Project Almanac,SciFi,Dean Israelite,Gary Weeks
Project X,Comedy,Nima Nourizadeh,Dax Flame
Prom,Comedy,Joe Nussbaum,Cameron Monaghan
Prom Night,Horror,Nelson McCormick,Ming-Na Wen
Prometheus,Adventure,Ridley Scott,Michael Fassbender
Promised Land,Drama,Gus Van Sant,Matt Damon
Proof of Life,Action,Taylor Hackford,Pamela Reed
Prophecy,Horror,John Frankenheimer,Talia Shire
Proud,Drama,Mary Pat Kelly,Aidan Quinn
Psycho,Horror,Alfred Hitchcock,Janet Leigh
Psycho Beach Party,Comedy,Robert Lee King,Lauren Ambrose
Public Enemies,Biography,Michael Mann,Johnny Depp
Pulp Fiction,Crime,Quentin Tarantino,Bruce Willis
Pulse,Drama,Jim Sonzero,Ian Somerhalder
Punch-Drunk Love,Comedy,Paul Thomas Anderson,Adam Sandler
Punisher: War Zone,Action,Lexi Alexander,Julie Benz
Purple Violets,Comedy,Edward Burns,Debra Messing
Pushing Tin,Comedy,Mike Newell,Angelina Jolie Pitt
Puss in Boots,Action,Chris Miller,Salma Hayek
Q,Drama,Laurent Bouhnik,Déborah Révy
Quantum of Solace,Action,Marc Forster,Giancarlo Giannini
Quarantine,Horror,John Erick Dowdle,Andrew Fiscella
Quartet,Comedy,Dustin Hoffman,Luke Newberry
Queen Crab,Action,Brett Piper,Michelle Simone Miller
Queen of the Damned,Drama,Michael Rymer,Aaliyah
Queen of the Mountains,Action,Sadyk Sher-Niyaz,Elina Abai Kyzy
Quest for Fire,Adventure,Jean-Jacques Annaud,Rae Dawn Chong
Quigley Down Under,Action,Simon Wincer,Alan Rickman
Quills,Biography,Philip Kaufman,Kate Winslet
Quinceañera,Drama,Richard Glatzer,Emily Rios
Quo Vadis,Biography,Mervyn LeRoy,Peter Ustinov
R.I.P.D.,Action,Robert Schwentke,Ryan Reynolds
R.L. Stine's Monsterville: The Cabinet of Souls,Comedy,Peter DeLuise,Katherine McNamara
R100,Comedy,Hitoshi Matsumoto,Lindsay Kay Hayward
Rabbit Hole,Drama,John Cameron Mitchell,Dianne Wiest
Rabbit-Proof Fence,Adventure,Phillip Noyce,Roy Billing
Race,Biography,Stephen Hopkins,William Hurt
Race to Witch Mountain,Action,Andy Fickman,Dwayne Johnson
Rachel Getting Married,Drama,Jonathan Demme,Anne Hathaway
Racing Stripes,Adventure,Frederik Du Chau,Bruce Greenwood
Radio,Biography,Michael Tollin,Alfre Woodard
Radio Days,Comedy,Woody Allen,Mike Starr
Radio Flyer,Drama,Richard Donner,Adam Baldwin
Raging Bull,Biography,Martin Scorsese,Robert De Niro
Raiders of the Lost Ark,Action,Steven Spielberg,Harrison Ford
Rain Man,Drama,Barry Levinson,Tom Cruise
Raise the Titanic,Action,Jerry Jameson,M. Emmet Walsh
Raise Your Voice,Family,Sean McNamara,Oliver James
Raising Cain,Crime,Brian De Palma,Steven Bauer
Raising Victor Vargas,Drama,Peter Sollett,Victor Rasuk
Ramanujan,Biography,Gnana Rajasekaran,Mani Bharathi
Rambo III,Action,Peter MacDonald,Sylvester Stallone
Rambo: First Blood Part II,Action,George P. Cosmatos,Sylvester Stallone
Ramona and Beezus,Adventure,Elizabeth Allen Rosenbaum,Sierra McCormick
Rampage,Action,Uwe Boll,Matt Frewer
Random Hearts,Drama,Sydney Pollack,Harrison Ford
Rang De Basanti,Comedy,Rakeysh Omprakash Mehra,Anupam Kher
Rango,Adventure,Gore Verbinski,Johnny Depp
Ransom,Crime,Ron Howard,Lili Taylor
Rapa Nui,Action,Kevin Reynolds,Esai Morales
Rat Race,Adventure,Jerry Zucker,Corinna Harney
Ratatouille,Animation,Brad Bird,Janeane Garofalo
Ravenous,Fantasy,Antonia Bird,Jeremy Davies
Ray,Biography,Taylor Hackford,Bokeem Woodbine
Raymond Did It,Horror,Travis Legge,Elissa Dowling
Ready to Rumble,Comedy,Brian Robbins,Oliver Platt
Real Steel,Action,Shawn Levy,Hugh Jackman
Real Women Have Curves,Comedy,Patricia Cardoso,America Ferrera
Rebecca,Drama,Alfred Hitchcock,Laurence Olivier
Recess: School's Out,Animation,Chuck Sheetz,Diedrich Bader
RED,Action,Robert Schwentke,Bruce Willis
RED 2,Action,Dean Parisot,Bruce Willis
Red Cliff,Action,John Woo,Takeshi Kaneshiro
Red Dawn,Action,John Milius,Lea Thompson
Red Dog,Biography,Kriv Stenders,Noah Taylor
Red Dragon,Crime,Brett Ratner,Philip Seymour Hoffman
Red Eye,Mystery,Wes Craven,Robert Pine
Red Lights,Drama,Rodrigo Cortés,Robert De Niro
Red Planet,Action,Antony Hoffman,Bob Neill
Red Riding Hood,Fantasy,Catherine Hardwicke,Gary Oldman
Red Riding: In the Year of Our Lord 1974,Crime,Julian Jarrold,Andrew Garfield
Red River,Action,Howard Hawks,Montgomery Clift
Red Sky,Action,Mario Van Peebles,Martin Kove
Red Sonja,Action,Richard Fleischer,Ernie Reyes Jr.
Red State,Action,Kevin Smith,Anna Gunn
Red Tails,Action,Anthony Hemingway,David Oyelowo
Redacted,Crime,Brian De Palma,Mike Figueroa
Redbelt,Drama,David Mamet,Alice Braga
Redemption Road,Drama,Mario Van Peebles,Tom Skerritt
Reds,Biography,Warren Beatty,Paul Sorvino
Regression,Crime,Alejandro Amenábar,Emma Watson
Reign of Assassins,Action,Chao-Bin Su,Woo-sung Jung
Reign of Fire,Action,Rob Bowman,Christian Bale
Reign Over Me,Drama,Mike Binder,Adam Sandler
Reindeer Games,Action,John Frankenheimer,Charlize Theron
Re-Kill,Action,Valeri Milev,Daniella Alonso
Religulous,Comedy,Larry Charles,Bill Maher
Remember Me,Drama,Allen Coulter,Robert Pattinson
Remember Me My Love,Comedy,Gabriele Muccino,Laura Morante
Remember the Titans,Biography,Boaz Yakin,Ryan Gosling
Renaissance,Action,Christian Volckman,Romola Garai
Renaissance Man,Comedy,Penny Marshall,Ed Begley Jr.
Rendition,Drama,Gavin Hood,J.K. Simmons
Reno 911!: Miami,Comedy,Robert Ben Garant,Wendi McLendon-Covey
Rent,Drama,Chris Columbus,Rosario Dawson
Repo Man,Comedy,Alex Cox,Del Zamora
Repo Men,Action,Miguel Sapochnik,Alice Braga
Repo! The Genetic Opera,Horror,Darren Lynn Bousman,Alexa PenaVega
Requiem for a Dream,Drama,Darren Aronofsky,Ellen Burstyn
Rescue Dawn,Adventure,Werner Herzog,Christian Bale
Reservoir Dogs,Crime,Quentin Tarantino,Quentin Tarantino
Resident Evil,Action,Paul W.S. Anderson,Milla Jovovich
Resident Evil: Afterlife,Action,Paul W.S. Anderson,Milla Jovovich
Resident Evil: Extinction,Action,Russell Mulcahy,Milla Jovovich
Resident Evil: Retribution,Action,Paul W.S. Anderson,Milla Jovovich
Restless,Drama,Edward Hall,Rufus Sewell
Restoration,Horror,Zack Ward,Zack Ward
Resurrecting the Champ,Drama,Rod Lurie,Harry Lennix
Return of the Living Dead III,Horror,Brian Yuzna,Melinda Clarke
Return to Me,Comedy,Bonnie Hunt,Minnie Driver
Return to Never Land,Adventure,Robin Budd,Roger Rees
Return to Oz,Adventure,Walter Murch,Piper Laurie
Return to the Blue Lagoon,Adventure,William A. Graham,Milla Jovovich
Revolutionary Road,Drama,Sam Mendes,Leonardo DiCaprio
Ri¢hie Ri¢h,Comedy,Donald Petrie,Macaulay Culkin
Richard III,Drama,Richard Loncraine,Robert Downey Jr.
Riddick,Action,David Twohy,Vin Diesel
Ride Along,Action,Tim Story,Bruce McGill
Ride Along 2,Action,Tim Story,Olivia Munn
Ride with the Devil,Drama,Ang Lee,Jeremy W. Auman
Riding Giants,Documentary,Stacy Peralta,Gerry Lopez
Riding in Cars with Boys,Biography,Penny Marshall,Rosie Perez
Righteous Kill,Action,Jon Avnet,Robert De Niro
Rio,Adventure,Carlos Saldanha,Anne Hathaway
Rio 2,Adventure,Carlos Saldanha,Miguel Ferrer
Ripley's Game,Crime,Liliana Cavani,Ray Winstone
Rise of the Entrepreneur: The Search for a Better Way,Documentary,Joe Kenemore,Bob Proctor
Rise of the Guardians,Adventure,Peter Ramsey,Hugh Jackman
Rise of the Planet of the Apes,Action,Rupert Wyatt,James Franco
Risen,Action,Kevin Reynolds,Peter Firth
River's Edge,Crime,Tim Hunter,Keanu Reeves
Rize,Documentary,David LaChapelle,Kevin Scott Richardson
Road Hard,Comedy,Adam Carolla,Jay Mohr
Road House,Action,Rowdy Herrington,Ben Gazzara
Road to Perdition,Crime,Sam Mendes,Tom Hanks
Road Trip,Comedy,Todd Phillips,Ethan Suplee
Roadside,Drama,Eric England,Jack E. Curenton
Roadside Romeo,Animation,Jugal Hansraj,Saif Ali Khan
